gene	source	is_derived	is_external	k119ub_ctrl_signal	k119ub_log2fc	k119ub_decile
Arf6	both	TRUE	TRUE	2.676048	-0.150915	10
Arfgap3	both	TRUE	TRUE	1.21346	0.032244	7
Arfgef1	both	TRUE	TRUE	0.451652	-0.21998	1
Arhgap22	both	TRUE	TRUE	2.581324	0.22422	9
Arhgap32	both	TRUE	TRUE	0.976846	-0.038283	5
Arhgap33	both	TRUE	TRUE	1.296005	-0.313958	7
Arhgap35	both	TRUE	TRUE	0.638123	-0.409571	3
Arhgap39	both	TRUE	TRUE	0.639044	-0.251437	3
Arhgap4	both	TRUE	TRUE	0.904329	0.272051	5
Arhgap44	both	TRUE	TRUE	0.997189	-0.209152	6
Arhgdia	both	TRUE	TRUE	1.636167	-0.195844	8
Arhgef10	both	TRUE	TRUE	2.120051	0.520529	9
Arhgef15	both	TRUE	TRUE	1.295091	0.093585	7
Arhgef2	both	TRUE	TRUE	1.322984	0.115557	7
Arhgef25	both	TRUE	TRUE	2.770526	-0.121566	10
Arhgef28	both	TRUE	TRUE	1.44196	-0.006781	8
Arhgef5	both	TRUE	TRUE	2.553176	0.161422	9
Arhgef7	both	TRUE	TRUE	1.215388	0.009457	7
Arhgef9	both	TRUE	TRUE	0.63366	0.114813	3
Arid1a	both	TRUE	TRUE	0.831753	-0.125783	5
Arid1b	both	TRUE	TRUE	1.626722	0.072436	8
Ark2c	both	TRUE	TRUE	1.923662	-0.070147	9
Arl13b	both	TRUE	TRUE	0.927513	0.256321	5
Arl3	both	TRUE	TRUE	0.598226	0.075509	3
Arl6	both	TRUE	TRUE	0.903132	0.726867	5
Arl6ip5	both	TRUE	TRUE	1.335082	0.426131	7
Arl8a	both	TRUE	TRUE	1.431599	0.007967	7
Arl8b	both	TRUE	TRUE	0.840268	0.050772	5
Armc2	both	TRUE	TRUE	1.346007	0.686296	7
Armcx3	both	TRUE	TRUE	1.557515	-0.154818	8
Arnt2	both	TRUE	TRUE	1.28745	-0.16622	7
Arpc3	external	FALSE	TRUE	0.435377	-0.128391	1
Arr3	both	TRUE	TRUE	0.783391	-0.019695	4
Arrb1	both	TRUE	TRUE	2.055884	-0.050362	9
Arrb2	both	TRUE	TRUE	0.927656	-0.098279	5
Arsb	both	TRUE	TRUE	1.827193	0.311481	8
