task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1447	3d/c994ea	52138853	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:31.169	5m	4m 28s	1299.7%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1454	88/c4cc94	52138856	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:31.740	5m 44s	5m 12s	1271.8%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1467	e8/67188c	52138802	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:53:31.180	5m	4m 22s	1298.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1478	7f/030d63	52137871	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:00:09.283	6m 59s	6m 16s	939.5%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1471	ea/dbb171	52138890	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:01:46.238	6m	5m 35s	1261.1%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
1458	2e/158655	52138858	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:32.151	6m 44s	6m 3s	922.4%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1469	02/666f22	52138889	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:01:46.041	6m 45s	6m 19s	911.8%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1498	52/45ef0e	52138405	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:33:16.233	5m	4m 25s	1299.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1459	4f/e6acf3	52138860	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:32.790	6m 58s	6m 15s	1292.3%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1481	2e/7e0bf6	52137874	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:00:09.869	5m 13s	4m 26s	1319.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1496	c1/09146d	52138321	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:25:08.849	5m 22s	4m 34s	1285.9%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1487	ab/a5fc55	52138690	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:46:31.117	5m 45s	5m 25s	1247.2%	20.2 GB	79.8 GB	19.3 GB	7.8 GB
1494	ec/df1c32	52138404	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:33:16.128	4m 45s	4m 22s	1317.6%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1480	fe/a5c46c	52137873	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:00:09.700	5m 29s	4m 40s	1276.9%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1490	08/1a9f07	52138692	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:46:31.360	5m 45s	5m 22s	1240.0%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1493	b1/dda568	52138056	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:11:53.356	5m	4m 43s	1267.3%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1489	fc/018490	52138691	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:46:31.239	5m 15s	4m 47s	1302.4%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1514	d3/82e6cd	52137837	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:55:08.755	5m 44s	4m 52s	1295.3%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
