gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
Smpdl3a	-0.353633156320237	0.62121464	-0.035882237	0.895611062	0.895611062	1	0	FALSE	No peak
Sntg1	-0.160084016993937	0.628237521	-0.061463904	0.787058386	0.787058386	1	0	FALSE	No peak
Snx2	-0.422779254114309	0.313669919	0.082169302	0.715448671	0.715448671	3	0	FALSE	No peak
Snx24	-0.146801383746213	0.299089647	NA	NA	NA	NA	NA	NA	No peak
Sobp	-0.31214690770831	0.4665961	NA	NA	NA	NA	NA	NA	No peak
Socs6	-0.135756763624342	0.787420145	0.828000133	0.011064849	0.011064849	2	1	TRUE	MeCP2 Up
Sorbs1	-0.224738875758721	0.578849956	-0.172290144	0.39613727	0.300342292	10	0	FALSE	No peak
Sorbs2	-0.156634246922222	0.625935007	-0.05172276	0.836734594	0.836734594	1	0	FALSE	No peak
Sorl1	-0.223548100046905	0.388672471	2.149398583	1.34e-20	1.34e-20	4	2	TRUE	MeCP2 Up
Sp4	-0.187570526911324	0.737273847	-0.06790589	0.762625782	0.762625782	1	0	FALSE	No peak
Spaca3	-0.438090333503616	0.37365516	0.000842501	0.99816675	0.002213731	8	2	TRUE	MeCP2 Up
Spag9	-0.291829739919823	0.9224226	-0.138910898	0.512743778	0.512743778	2	0	FALSE	No peak
Sphkap	-0.278854069239294	0.299068243	-0.091221781	0.673850346	4.82e-23	7	6	TRUE	MeCP2 Down
Spink10	-0.274325053937091	0.462852738	NA	NA	NA	NA	NA	NA	No peak
Spink13	-0.222712600374589	0.322396356	0.148866636	0.472655706	0.472655706	2	0	FALSE	No peak
Spire1	-0.368425830195964	1.380897085	NA	NA	NA	NA	NA	NA	No peak
Spred2	-0.230242914239184	0.452832066	-0.063989085	0.782866786	0.258685716	9	0	FALSE	No peak
Sptb	-0.179964188028065	0.630174963	0.065970381	0.765348167	0.765348167	4	0	FALSE	No peak
Sptbn1	-0.299199556195546	0.782784456	-0.059201561	0.803609822	0.803609822	1	0	FALSE	No peak
Sptlc3	-0.164190898120767	0.510986182	1.895823258	5.17e-08	2.89e-14	13	11	TRUE	MeCP2 Up
Srek1ip1	-0.410837703461497	1.316515109	2.275029412	1.91e-15	1.91e-15	2	1	TRUE	MeCP2 Up
Srgap2	-0.26330650529097	0.346063139	-0.193349553	0.332009363	0.332009363	2	0	FALSE	No peak
Ss18	-0.197219043417936	0.401218931	-0.035311627	0.898152504	1.34e-06	5	2	TRUE	MeCP2 Down
Ssbp2	-0.195753123441833	1.167399138	-0.079195497	0.726789442	2.85e-07	4	1	TRUE	MeCP2 Down
Sspo	-0.262132700196843	0.35973355	-0.051000202	0.837520484	0.743704914	3	0	FALSE	No peak
St7	-0.137241948060834	0.722390866	-0.006955447	0.985868779	0.380273537	3	0	FALSE	No peak
St8sia4	-0.214140052637057	0.235008462	NA	NA	NA	NA	NA	NA	No peak
Stim1	-0.153597668098726	0.770407086	-0.002970526	0.994092053	0.994092053	1	0	FALSE	No peak
Stim2	-0.221130074072208	0.95610446	-0.101923184	0.642640769	0.123890612	3	0	FALSE	No peak
Stk32b	-0.189516116267579	0.339507674	NA	NA	NA	NA	NA	NA	No peak
Stk39	-0.0889874151426118	0.674271516	1.526229128	6.19e-10	6.19e-10	13	4	TRUE	MeCP2 Up
Stox2	-0.204380046075948	0.447080498	-0.038753954	0.888835599	0.821682175	3	0	FALSE	No peak
Strbp	-0.314266093815541	0.501106235	-0.034847675	0.899841599	0.145631019	2	0	FALSE	No peak
Strn	-0.31438640009374	0.807316552	-0.024289233	0.935014101	0.935014101	1	0	FALSE	No peak
Stt3b	-0.208964804247617	0.381703235	-0.16606873	0.437031524	0.437031524	1	0	FALSE	No peak
Stx7	-0.241936015391122	1.018942851	0.018727616	0.95194794	0.95194794	1	0	FALSE	No peak
Stxbp5	-0.30200279626702	0.515876837	-0.022640023	0.942197724	0.400843304	3	0	FALSE	No peak
Stxbp5l	-0.241529332473071	1.084377942	-0.174188667	0.382424902	1.64e-26	9	6	TRUE	MeCP2 Down
Susd6	-0.197057154227446	0.883839478	-0.203723421	0.325378238	0.325378238	1	0	FALSE	No peak
Sv2b	-0.131923539462999	0.634022413	2.555223996	7.23e-16	7.23e-16	8	5	TRUE	MeCP2 Up
Sv2c	-0.257031446485947	0.336431636	-0.016390687	0.95963674	0.816735873	4	0	FALSE	No peak
Syn3	-0.159385968741717	0.212228205	-0.070700774	0.748437634	0.155828808	6	0	FALSE	No peak
