"mecp2_Fold","mecp2_FDR","h2a_Fold","h2a_FDR","overlap_frac_mecp2","overlap_frac_h2a","sig","quadrant"
0.007266198,0.985165835,0.053732707,0.786623551,1,0.80391061452514,"Not significant","Q1 (MeCP2 up / H2A up)"
0.016681886,0.958917407,0.012501834,0.94290489,0.751345532831001,0.933155080213904,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.023413797,0.93867605,0.325664344,0.051396007,1,0.921302578018996,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.018099641,0.953679213,0.049939124,0.773386793,0.906448202959831,0.84607794770597,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.053726035,0.8329577,-0.070751145,0.488772747,1,0.557085020242915,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.032600045,0.907133857,-0.605699225,1.14e-05,1,0.633947554925585,"Not significant","Q3 (MeCP2 down / H2A down)"
0.0887931,0.677765436,0.252307764,0.085100543,1,0.855297157622739,"Not significant","Q1 (MeCP2 up / H2A up)"
0.026139244,0.932133757,0.322225575,0.027379402,1,0.713706705969049,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.067894509,0.770998905,0.276738927,0.088882292,1,0.899088541666667,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.021805998,0.943232007,0.247656369,0.035684904,1,0.528398384925976,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.213790269,0.315610968,0.129397263,0.355537111,1,0.681818181818182,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.184821794,0.379355892,-0.436245139,0.000947611,1,0.536137440758294,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.027174985,0.925355882,-0.381298107,0.004639217,1,0.662049861495845,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.111594801,0.595851262,0.506322716,6.78e-05,1,0.876847290640394,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.186385206,0.372869312,0.002764462,0.990656573,1,0.845476381104884,"Not significant","Q2 (MeCP2 down / H2A up)"
0.366622304,0.102325965,0.447308655,0.000902292,1,0.875063227111786,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.12756802,0.548301562,-0.509339557,0.002620644,1,0.94392523364486,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.137692938,0.530332025,-0.089364096,0.529185998,1,0.847491909385113,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.085255808,0.706929834,-0.009135815,0.951294942,1,0.60801393728223,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.00668814,0.98623841,0.305476374,0.074354918,1,0.838541666666667,"Not significant","Q2 (MeCP2 down / H2A up)"
1.063088932,0.003525441,1.95123527,6.21e-32,0.651560926485398,0.629377431906615,"Significant","Q1 (MeCP2 up / H2A up)"
-0.007576406,0.984107301,-0.077830154,0.533875807,1,0.616749054957837,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.137504657,0.511291421,0.450916182,0.000338028,1,0.804964539007092,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.039515234,0.882188475,0.247451501,0.05667139,1,0.88047255038221,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.073762447,0.750270625,-0.436082351,0.001287147,1,0.6996699669967,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.125495653,0.555446473,0.168645467,0.375610803,1,0.792824074074074,"Not significant","Q2 (MeCP2 down / H2A up)"
0.009137579,0.979700706,0.064511081,0.718604225,0.692823954568921,0.677093844601413,"Not significant","Q1 (MeCP2 up / H2A up)"
0.094632695,0.664549356,1.341775293,1.59e-30,1,0.637795275590551,"Not significant","Q1 (MeCP2 up / H2A up)"
0.718182572,0.018862734,1.579644926,1.99e-30,1,0.88706091596265,"Significant","Q1 (MeCP2 up / H2A up)"
-0.118771454,0.577274797,0.148347362,0.349199589,1,0.533799533799534,"Not significant","Q2 (MeCP2 down / H2A up)"
0.065265177,0.777560075,0.503650085,2.03e-05,1,0.51975987993997,"Not significant","Q1 (MeCP2 up / H2A up)"
1.976733633,6.63e-10,0.877037898,2.91e-07,0.983827493261456,0.958005249343832,"Significant","Q1 (MeCP2 up / H2A up)"
0.908959032,0.006446511,1.031962008,1.2e-14,1,0.645744680851064,"Significant","Q1 (MeCP2 up / H2A up)"
-0.030714258,0.912579808,-0.051501797,0.796267792,0.945175438596491,0.889118102114492,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.069327132,0.758389594,0.2628551,0.008162124,1,0.769442262372349,"Not significant","Q2 (MeCP2 down / H2A up)"
0.030858555,0.914623566,-0.103396843,0.699884197,0.729994242947611,0.7689508793208,"Not significant","Q4 (MeCP2 up / H2A down)"
0.437927931,0.075943468,1.292734379,3.28e-14,0.901859504132231,0.697284345047923,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.015118233,0.963169141,0.563813517,0.000238756,1,0.789413773477519,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.010399712,0.976400077,-0.099838775,0.455352661,1,0.511318242343542,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.431097948,0.075873147,0.029737926,0.847893013,1,0.512713472485768,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.124287462,0.538004029,0.220523546,0.139568569,1,0.50576479631053,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.040664863,0.877331257,-0.097955014,0.546993675,1,0.543428384136349,"Not significant","Q3 (MeCP2 down / H2A down)"
0.087840787,0.685774422,0.120242822,0.363290863,1,0.658650634602538,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.074712282,0.763308895,0.060516481,0.673654594,1,0.548680618744313,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.012197404,0.971218403,-0.056616443,0.645332819,1,0.665132743362832,"Not significant","Q3 (MeCP2 down / H2A down)"
0.182897374,0.366568068,0.418001458,0.008343413,1,0.727593507410021,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.258714403,0.258685716,0.133114305,0.343804227,1,0.531500572737686,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.033099179,0.906800201,1.002403555,2.95e-10,0.856662933930571,0.888501742160279,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.005056829,0.990157062,-0.209672519,0.179078846,1,0.703944083874189,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.202629068,0.354999196,-0.414099517,9.97e-06,1,0.574697173620458,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.007375347,0.984397778,0.515150053,5.94e-07,1,0.510002598077423,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.003533209,0.992879564,-0.076583235,0.725998923,1,0.858673469387755,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.07359811,0.74852703,-0.224674948,0.142196587,1,0.662712534598656,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.007792444,0.983698422,-0.808460832,4.61e-08,1,0.754104925911093,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.007781441,0.983617544,0.238294132,0.09466187,1,0.69126458530432,"Not significant","Q2 (MeCP2 down / H2A up)"
0.136469055,0.519940519,0.571617551,0.000497112,1,0.866766467065868,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.236312772,0.259636561,-0.488511546,0.006343349,1,0.772588055130168,"Not significant","Q3 (MeCP2 down / H2A down)"
0.023461881,0.937672586,0.534964757,8.63e-05,1,0.709555345316935,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.087930205,0.690697137,-0.36503358,0.00130675,1,0.681644764730818,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.700343328,0.017564742,-0.177578409,0.193657582,1,0.591756624141315,"Not significant","Q3 (MeCP2 down / H2A down)"
0.024602766,0.933683793,-0.115285345,0.522184443,0.78475073313783,0.962589928057554,"Not significant","Q4 (MeCP2 up / H2A down)"
-0.026497111,0.927270182,-0.172727719,0.349243884,0.569782330345711,0.553482587064677,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.002821547,0.994312773,0.295202373,0.051272838,1,0.818848167539267,"Not significant","Q2 (MeCP2 down / H2A up)"
