"peak_id","mecp2_Fold","mecp2_FDR","SYMBOL"
"mecp2_peak_609",-0.069032242,0.770471207,"Ubxn4"
"mecp2_peak_610",0.029779997,0.916899047,"Kcnb2"
"mecp2_peak_611",-0.035588322,0.897138501,"Brinp2"
"mecp2_peak_613",1.982429786,2.23e-10,"Trp53bp2"
"mecp2_peak_615",0.024113192,0.935454379,"Lmx1a"
"mecp2_peak_617",-0.028194336,0.923312458,"Aff3"
"mecp2_peak_618",-0.060646867,0.799180902,"Nmnat2"
"mecp2_peak_623",-0.137187554,0.494163301,"Arid5a"
"mecp2_peak_625",0.007086675,0.985297252,"Degs1"
"mecp2_peak_628",0.039722834,0.882972273,"Cntn2"
"mecp2_peak_629",-0.028768431,0.92139328,"Col19a1"
"mecp2_peak_630",0.00237503,0.995270866,"Esrrg"
"mecp2_peak_634",-0.055201234,0.820988081,"Plekha6"
"mecp2_peak_636",-0.090591149,0.675772988,"Rgl1"
"mecp2_peak_638",-0.245633495,0.269798132,"Map4k4"
"mecp2_peak_639",-0.20209828,0.319595198,"Lct"
"mecp2_peak_640",-0.091401379,0.673464122,"Usf1"
"mecp2_peak_641",0.120892795,0.575171155,"Smyd3"
"mecp2_peak_642",0.042612773,0.870559015,"Tgfbrap1"
"mecp2_peak_643",-0.101839127,0.635811491,"Hsd17b7"
"mecp2_peak_646",-0.044993803,0.865153869,"Cox5b"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a10"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a9"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a8"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a7c"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a6b"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a6a"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a5"
"mecp2_peak_648",0.05598947,0.816392446,"Ugt1a2"
"mecp2_peak_648",0.05598947,0.816392446,"Dnajb3"
"mecp2_peak_650",-0.065353754,0.778820389,"Map2"
"mecp2_peak_651",0.01025487,0.976961746,"Ralgps2"
"mecp2_peak_652",-0.117780837,0.574373571,"Agap1"
"mecp2_peak_654",2.139679452,8.43e-11,"Hmcn1"
"mecp2_peak_655",-0.200416744,0.338710786,"Colgalt2"
"mecp2_peak_656",-0.00715523,0.985177342,"Nhej1"
"mecp2_peak_656",-0.00715523,0.985177342,"Slc23a3"
"mecp2_peak_657",-0.010775797,0.976354013,"Aff3"
"mecp2_peak_658",0.067255111,0.774895216,"Neu2"
"mecp2_peak_659",0.018664268,0.952139442,"Ephx1"
"mecp2_peak_660",-0.071253551,0.76257719,"Usf1"
"mecp2_peak_661",0.138830476,0.531596345,"Tns1"
"mecp2_peak_662",-0.05312307,0.837696932,"Kcnh1"
"mecp2_peak_664",0.033447841,0.907782007,"Ptpn14"
"mecp2_peak_667",-0.013504446,0.967449961,"Hhat"
"mecp2_peak_669",0.020149359,0.948660124,"Tbc1d8"
"mecp2_peak_673",0.035295702,0.897569381,"Kcnh1"
"mecp2_peak_674",-0.071659197,0.753605124,"Il1r2"
"mecp2_peak_675",-0.038683882,0.885746937,"Ncstn"
"mecp2_peak_675",-0.038683882,0.885746937,"Copa"
"mecp2_peak_679",-0.04324785,0.869363947,"Rc3h1"
