ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:0019080	viral gene expression	73	-0.654213415131149	-1.47620428999239	0.00809812145291214	0.773543501717301	0.76825943022703	1329	tags=14%, list=6%, signal=13%	22278/13211/66141/19720/20823/21357/66597/55944/15364/69807	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0010517	regulation of phospholipase activity	56	0.838896870147353	1.32224964490688	0.0087587241010448	0.773543501717301	0.76825943022703	1411	tags=11%, list=7%, signal=10%	11608/14182/20617/17118/16007/50768	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0045672	positive regulation of osteoclast differentiation	36	0.862114863910458	1.3158239558386	0.00806389771644471	0.773543501717301	0.76825943022703	1837	tags=25%, list=9%, signal=23%	14281/100201/12912/19055/18996/238377/16416/22034/18081	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0045214	sarcomere organization	49	0.838784645281548	1.31449202323536	0.00947996667703738	0.773543501717301	0.76825943022703	1938	tags=16%, list=9%, signal=15%	17996/18760/22437/17260/225288/22138/17930/17868	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0021801	cerebral cortex radial glia-guided migration	27	0.879609815992757	1.31278890376814	0.0107600725434891	0.773543501717301	0.76825943022703	1266	tags=19%, list=6%, signal=17%	328365/13193/69601/13131/12387	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0022030	telencephalon glial cell migration	27	0.879609815992757	1.31278890376814	0.0107600725434891	0.773543501717301	0.76825943022703	1266	tags=19%, list=6%, signal=17%	328365/13193/69601/13131/12387	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0061744	motor behavior	25	0.880582352602856	1.30720881742269	0.0108474513228445	0.773543501717301	0.76825943022703	764	tags=12%, list=4%, signal=12%	14815/66797/110862	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1904862	inhibitory synapse assembly	20	0.899632544184057	1.3070773325169	0.013492219750978	0.773543501717301	0.76825943022703	1732	tags=40%, list=8%, signal=37%	14401/66797/14406/14395/64085/14168/14394/20354	MeCP2 fold (median significant)	FALSE	TRUE	21098
GO:1900006	positive regulation of dendrite development	22	0.896019589307104	1.30703388332688	0.0116683347688246	0.773543501717301	0.76825943022703	1607	tags=27%, list=8%, signal=25%	15572/19283/19242/69601/12808/22359	MeCP2 fold (median significant)	FALSE	TRUE	21098
GO:2000352	negative regulation of endothelial cell apoptotic process	32	0.863658708180781	1.30669166165207	0.0128595226181112	0.773543501717301	0.76825943022703	1830	tags=22%, list=9%, signal=20%	20254/11600/20356/16416/14462/18024/16153	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0031338	regulation of vesicle fusion	33	0.863818063093351	1.30610927247423	0.00832177371996536	0.773543501717301	0.76825943022703	1939	tags=30%, list=9%, signal=28%	116837/18783/20617/20983/210789/12890/13447/20979/116838/238988	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	55	0.828976947790175	1.30607571055139	0.00985300636490199	0.773543501717301	0.76825943022703	2085	tags=22%, list=10%, signal=20%	26408/50873/15251/12387/50754/14362/69754/11545/18024/16153/228026/22361	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1902993	positive regulation of amyloid precursor protein catabolic process	25	0.879580863717585	1.30572212501112	0.0115416738437656	0.773543501717301	0.76825943022703	1392	tags=24%, list=7%, signal=22%	19878/216028/13838/233744/56705/17096	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1902991	regulation of amyloid precursor protein catabolic process	44	0.842700572098275	1.30470996754078	0.0136080756752457	0.773543501717301	0.76825943022703	1392	tags=16%, list=7%, signal=15%	19878/20660/216028/13838/233744/56705/17096	MeCP2 fold (median significant)	FALSE	FALSE	21098
