"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"4930453L07Rik",-0.077269795,0.73412391,0,1,FALSE,0.068799864,0.579787692,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930459C07Rik",1.18077001943114,4.03e-07,1,2,TRUE,0.804510454332014,1.42e-16,7,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930465M20Rik",0.0556282119504352,0.612288427,0,2,FALSE,-0.155346663,0.336020742,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"4930469K13Rik",0.228815583,0.310582733,0,1,FALSE,0.520158116,1.25e-07,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930471G03Rik",0.020905056,0.945628798,0,1,FALSE,-0.35842122197167,0.000121479,3,4,TRUE,"Not significant","Q4 (MeCP2 up / H2A down)"
"4930473O22Rik",1.546705973,5.57e-05,1,1,TRUE,0.974692390994417,2.87e-10,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930474H20Rik",-0.07118418,0.763519797,0,1,FALSE,-0.19927239,0.314689049,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930474M22Rik",-0.0285996448770789,0.717741689,0,6,FALSE,-0.361397496708201,0.023345221,1,3,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930474N09Rik",-0.122525873,0.554834078,0,1,FALSE,0.209268571582143,0.123119065,0,2,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930480M12Rik",1.68357537855986,1.33e-07,3,4,TRUE,0.833660385041916,3.96e-14,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930505A04Rik",0.470784046,0.152764632,0,1,FALSE,0.897134919373851,3.73e-14,2,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930511A08Rik",0.213124215392441,0.163407522,0,7,FALSE,0.542120094864047,2.66e-10,8,10,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930512J16Rik",-0.156076447467609,0.410695873,0,2,FALSE,-0.238408699858279,0.093800458,0,2,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930513D17Rik",2.72820735740728,4.03e-24,4,7,TRUE,0.980438930274278,1.16e-18,8,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930517E11Rik",0.555013804,0.050777208,0,1,FALSE,1.080422035,1.26e-09,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930520P13Rik",0.033542581,0.905905187,0,1,FALSE,0.616335835,3.21e-06,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930522O17Rik",-0.013116134,0.968636793,0,1,FALSE,0.828720752,3.76e-19,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930523C07Rik",0.937307595,0.000429938,1,1,TRUE,0.561874593,2.64e-09,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930524B17Rik",1.73185256502652,9.61e-08,2,2,TRUE,1.074460428,1.57e-09,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930524O08Rik",0.282981073430487,0.158129749,0,3,FALSE,-0.0114235724375989,0.090921996,0,3,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"4930527F14Rik",-0.051717448,0.835791795,0,1,FALSE,0.397400535,0.005867788,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930528P14Rik",-0.034741759,0.90012203,0,1,FALSE,-0.200079875,0.145195618,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930529K09Rik",0.326171456,0.177033219,0,1,FALSE,0.572292456485886,3.27e-09,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930532I03Rik",-0.227009437,0.413514612,0,1,FALSE,0.419083668431321,0.000275646,2,3,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930542M03Rik",0.034671074,0.898479461,0,1,FALSE,-0.084247215,0.510424972,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"4930545L23Rik",0.386191287820875,0.092283246,0,5,FALSE,0.315196619277515,6.25e-05,2,4,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930546C10Rik",1.41630362522117,2.18e-08,1,2,TRUE,0.900927977402618,1.46e-13,2,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930546K05Rik",0.022423675,0.941382935,0,1,FALSE,0.643771620716724,5.26e-06,2,3,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930549C15Rik",-0.516565777031715,0.049871199,1,2,TRUE,0.418782946755777,1.32e-07,2,5,TRUE,"Significant","Q2 (MeCP2 down / H2A up)"
"4930553E22Rik",0.023540334,0.938378816,0,1,FALSE,0.511547816662638,0.00015965,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930554I06Rik",2.56157567158807,6.23e-26,6,9,TRUE,1.22821148320899,1.27e-36,6,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930555K19Rik",1.2487837782452,2.55e-05,2,3,TRUE,1.13543642024163,2.15e-24,3,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930556N09Rik",1.92663439006451,2.39e-11,9,10,TRUE,1.03888941112377,1.15e-18,6,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930563F08Rik",-0.880758902567511,2.36e-05,6,25,TRUE,-0.574579886322491,2.07e-11,10,12,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
